t_s,armed,yaw_rate_dps,target_dps,servo4_pwm,vbat_v,current_a,power_w,kp,ki,kd,imax,h_yaw_trim
8.6910,1,-0.6448,0.0,839,15.239,0.120,1.83,0.100000,0.100000,0.000000,0.700000,0.000000
8.6917,1,5.0761,0.0,839,15.239,0.120,1.83,0.100000,0.100000,0.000000,0.700000,0.000000
8.6934,1,-7.9313,0.0,835,15.239,0.120,1.83,0.100000,0.100000,0.000000,0.700000,0.000000
8.7444,1,-6.2100,0.0,837,15.239,0.120,1.83,0.100000,0.100000,0.000000,0.700000,0.000000
8.9256,1,-7.1004,0.0,840,15.239,0.120,1.83,0.100000,0.100000,0.000000,0.700000,0.000000
8.9260,1,-4.6650,0.0,840,15.239,0.120,1.83,0.100000,0.100000,0.000000,0.700000,0.000000
9.1585,1,-5.7550,0.0,839,15.239,0.120,1.83,0.100000,0.100000,0.000000,0.700000,0.000000
9.1594,1,0.5391,0.0,839,15.239,0.120,1.83,0.100000,0.100000,0.000000,0.700000,0.000000
9.1599,1,1.7310,0.0,837,15.239,0.120,1.83,0.100000,0.100000,0.000000,0.700000,0.000000
9.1606,1,-0.0772,0.0,837,15.239,0.120,1.83,0.100000,0.100000,0.000000,0.700000,0.000000
9.1884,1,0.5266,0.0,834,15.239,0.120,1.83,0.100000,0.100000,0.000000,0.700000,0.000000
9.2601,1,8.5109,0.0,834,15.239,0.120,1.83,0.100000,0.100000,0.000000,0.700000,0.000000
9.5293,1,6.8447,0.0,833,15.239,0.120,1.83,0.100000,0.100000,0.000000,0.700000,0.000000
9.5302,1,8.4448,0.0,840,15.239,0.120,1.83,0.100000,0.100000,0.000000,0.700000,0.000000
9.5310,1,10.5743,0.0,833,15.239,0.120,1.83,0.100000,0.100000,0.000000,0.700000,0.000000
9.5315,1,7.2188,0.0,833,15.239,0.120,1.83,0.100000,0.100000,0.000000,0.700000,0.000000
9.5319,1,7.4854,0.0,833,15.239,0.120,1.83,0.100000,0.100000,0.000000,0.700000,0.000000
9.7482,1,2.4515,0.0,832,15.239,0.120,1.83,0.100000,0.100000,0.000000,0.700000,0.000000
9.7491,1,3.6604,0.0,831,15.239,0.120,1.83,0.100000,0.100000,0.000000,0.700000,0.000000
9.8508,1,-1.6616,0.0,835,15.239,0.120,1.83,0.100000,0.100000,0.000000,0.700000,0.000000
9.8513,1,-0.9643,0.0,837,15.239,0.120,1.83,0.100000,0.100000,0.000000,0.700000,0.000000
10.1727,1,-4.7672,0.0,837,15.239,0.120,1.83,0.100000,0.100000,0.000000,0.700000,0.000000
10.1733,1,-7.0461,0.0,838,15.239,0.120,1.83,0.100000,0.100000,0.000000,0.700000,0.000000
10.1742,1,-7.2020,0.0,840,15.239,0.120,1.83,0.100000,0.100000,0.000000,0.700000,0.000000
10.1747,1,-12.8585,0.0,841,15.239,0.120,1.83,0.100000,0.100000,0.000000,0.700000,0.000000
10.1752,1,-27.2897,0.0,842,15.239,0.120,1.83,0.100000,0.100000,0.000000,0.700000,0.000000
10.1754,1,-38.8503,0.0,845,15.239,0.120,1.83,0.100000,0.100000,0.000000,0.700000,0.000000
10.4340,1,-48.8102,0.0,851,15.239,0.120,1.83,0.100000,0.100000,0.000000,0.700000,0.000000
10.4352,1,-59.5516,0.0,861,15.239,0.120,1.83,0.100000,0.100000,0.000000,0.700000,0.000000
10.4360,1,-65.7370,0.0,870,15.239,0.120,1.83,0.100000,0.100000,0.000000,0.700000,0.000000
10.4367,1,-70.1761,0.0,874,15.239,0.120,1.83,0.100000,0.100000,0.000000,0.700000,0.000000
10.4369,1,-74.1532,0.0,881,15.239,0.120,1.83,0.100000,0.100000,0.000000,0.700000,0.000000
10.6652,1,-73.3216,0.0,884,15.239,0.120,1.83,0.100000,0.100000,0.000000,0.700000,0.000000
10.6658,1,-65.3692,0.0,887,15.239,0.120,1.83,0.100000,0.100000,0.000000,0.700000,0.000000
10.6663,1,-56.4170,0.0,886,15.239,0.120,1.83,0.100000,0.100000,0.000000,0.700000,0.000000
10.6670,1,-43.0386,0.0,885,15.239,0.120,1.83,0.100000,0.100000,0.000000,0.700000,0.000000
10.8167,1,-31.6313,0.0,877,15.239,0.120,1.83,0.100000,0.100000,0.000000,0.700000,0.000000
10.8183,1,-21.7686,0.0,874,15.239,0.120,1.83,0.100000,0.100000,0.000000,0.700000,0.000000
10.8189,1,-13.0813,0.0,867,15.239,0.120,1.83,0.100000,0.100000,0.000000,0.700000,0.000000
11.1187,1,-3.3805,0.0,865,15.239,0.120,1.83,0.100000,0.100000,0.000000,0.700000,0.000000
11.1194,1,4.1859,0.0,861,15.239,0.120,1.83,0.100000,0.100000,0.000000,0.700000,0.000000
11.1200,1,17.0886,0.0,855,15.239,0.120,1.83,0.100000,0.100000,0.000000,0.700000,0.000000
11.1209,1,29.0642,0.0,853,15.239,0.120,1.83,0.100000,0.100000,0.000000,0.700000,0.000000
11.2432,1,37.8416,0.0,842,15.239,0.120,1.83,0.100000,0.100000,0.000000,0.700000,0.000000
11.2442,1,49.2987,0.0,838,15.239,0.120,1.83,0.100000,0.100000,0.000000,0.700000,0.000000
11.7289,1,51.5526,0.0,831,15.239,0.120,1.83,0.100000,0.100000,0.000000,0.700000,0.000000
11.7301,1,25.6738,0.0,827,15.239,0.120,1.83,0.100000,0.100000,0.000000,0.700000,0.000000
11.7307,1,3.1048,0.0,826,15.239,0.120,1.83,0.100000,0.100000,0.000000,0.700000,0.000000
11.7312,1,0.8715,0.0,841,15.239,0.120,1.83,0.100000,0.100000,0.000000,0.700000,0.000000
11.7317,1,5.1060,0.0,850,15.239,0.120,1.83,0.100000,0.100000,0.000000,0.700000,0.000000
11.7318,1,1.8553,0.0,850,15.239,0.120,1.83,0.100000,0.100000,0.000000,0.700000,0.000000
11.7320,1,4.1341,0.0,847,15.239,0.120,1.83,0.100000,0.100000,0.000000,0.700000,0.000000
11.7322,1,5.6728,0.0,850,15.239,0.120,1.83,0.100000,0.100000,0.000000,0.700000,0.000000
11.7325,1,7.6726,0.0,848,15.239,0.120,1.83,0.100000,0.100000,0.000000,0.700000,0.000000
11.7327,1,10.0636,0.0,848,15.239,0.120,1.83,0.100000,0.100000,0.000000,0.700000,0.000000
11.7330,1,2.7734,0.0,846,15.239,0.120,1.83,0.100000,0.100000,0.000000,0.700000,0.000000
11.8395,1,3.0882,0.0,847,15.239,0.120,1.83,0.100000,0.100000,0.000000,0.700000,0.000000
11.8400,1,-0.5625,0.0,847,15.239,0.120,1.83,0.100000,0.100000,0.000000,0.700000,0.000000
11.8404,1,3.0609,0.0,847,15.239,0.120,1.83,0.100000,0.100000,0.000000,0.700000,0.000000
11.9293,1,7.8510,0.0,849,15.239,0.120,1.83,0.100000,0.100000,0.000000,0.700000,0.000000
11.9300,1,-2.9321,0.0,847,15.239,0.120,1.83,0.100000,0.100000,0.000000,0.700000,0.000000
12.1754,1,-3.6729,0.0,848,15.239,0.120,1.83,0.100000,0.100000,0.000000,0.700000,0.000000
12.1760,1,-5.2073,0.0,852,15.239,0.120,1.83,0.100000,0.100000,0.000000,0.700000,0.000000
12.1766,1,-7.5834,0.0,852,15.239,0.120,1.83,0.100000,0.100000,0.000000,0.700000,0.000000
12.1775,1,-9.9600,0.0,854,15.239,0.120,1.83,0.100000,0.100000,0.000000,0.700000,0.000000
12.1781,1,-6.1854,0.0,854,15.239,0.120,1.83,0.100000,0.100000,0.000000,0.700000,0.000000
12.2363,1,-6.6157,0.0,854,15.239,0.120,1.83,0.100000,0.100000,0.000000,0.700000,0.000000
12.3911,1,-4.5778,0.0,854,15.239,0.120,1.83,0.100000,0.100000,0.000000,0.700000,0.000000
12.3920,1,-0.5135,0.0,854,15.239,0.120,1.83,0.100000,0.100000,0.000000,0.700000,0.000000
12.6387,1,-5.2771,0.0,852,15.239,0.120,1.83,0.100000,0.100000,0.000000,0.700000,0.000000
12.6396,1,-4.1035,0.0,850,15.239,0.120,1.83,0.100000,0.100000,0.000000,0.700000,0.000000
12.6406,1,-4.8961,0.0,850,15.239,0.120,1.83,0.100000,0.100000,0.000000,0.700000,0.000000
12.6412,1,-1.4203,0.0,851,15.239,0.120,1.83,0.100000,0.100000,0.000000,0.700000,0.000000
12.6993,1,4.4807,0.0,851,15.239,0.120,1.83,0.100000,0.100000,0.000000,0.700000,0.000000
12.7003,1,-3.1277,0.0,852,15.239,0.120,1.83,0.100000,0.100000,0.000000,0.700000,0.000000
12.8479,1,-2.3413,0.0,852,15.239,0.120,1.83,0.100000,0.100000,0.000000,0.700000,0.000000
12.9311,1,-2.7424,0.0,851,15.239,0.120,1.83,0.100000,0.100000,0.000000,0.700000,0.000000
12.9324,1,-1.8577,0.0,850,15.239,0.120,1.83,0.100000,0.100000,0.000000,0.700000,0.000000
13.0780,1,-6.3061,0.0,855,15.239,0.120,1.83,0.100000,0.100000,0.000000,0.700000,0.000000
13.2709,1,-2.5859,0.0,853,15.239,0.120,1.83,0.100000,0.100000,0.000000,0.700000,0.000000
13.2714,1,6.4868,0.0,853,15.239,0.120,1.83,0.100000,0.100000,0.000000,0.700000,0.000000
13.2721,1,-7.3786,0.0,852,15.239,0.120,1.83,0.100000,0.100000,0.000000,0.700000,0.000000
13.2726,1,2.0765,0.0,847,15.239,0.120,1.83,0.100000,0.100000,0.000000,0.700000,0.000000
13.3977,1,2.6163,0.0,855,15.239,0.120,1.83,0.100000,0.100000,0.000000,0.700000,0.000000
13.5534,1,6.0977,0.0,851,15.239,0.120,1.83,0.100000,0.100000,0.000000,0.700000,0.000000
13.5541,1,1.2928,0.0,849,15.239,0.120,1.83,0.100000,0.100000,0.000000,0.700000,0.000000
14.0136,1,-5.4851,0.0,852,15.239,0.120,1.83,0.100000,0.100000,0.000000,0.700000,0.000000
14.0141,1,-4.1584,0.0,851,15.239,0.120,1.83,0.100000,0.100000,0.000000,0.700000,0.000000
14.0148,1,1.3587,0.0,852,15.239,0.120,1.83,0.100000,0.100000,0.000000,0.700000,0.000000
14.0153,1,3.9092,0.0,852,15.239,0.120,1.83,0.100000,0.100000,0.000000,0.700000,0.000000
